Search_ID,File_Name,Segment_Index,Case_Name_Hint,Citation_Hint,Year_Hint,Char_Count
westlaw_100_full_text_items_for_appendectomy_0026,Westlaw - 100 full text items for appendectomy.rtf,26,"Distinguished by United Food and Commercial Workers, Local 23 v. Mountaineer Park, Inc., N.D.W.Va., September 23, 2009",793 F.Supp. 684,2026,16716
westlaw_100_full_text_items_for_appendectomy_0027,Westlaw - 100 full text items for appendectomy.rtf,27,"Betty P. TRULL, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2010 WL 227860,2026,15819
westlaw_100_full_text_items_for_appendectomy_0028,Westlaw - 100 full text items for appendectomy.rtf,28,,199 F.Supp. 399,2026,8199
westlaw_100_full_text_items_for_appendectomy_0029,Westlaw - 100 full text items for appendectomy.rtf,29,"Jessica WOODY
v.
UNITEDHEALTHCARE INSURANCE COMPANY",2024 WL 3468743,2026,18204
westlaw_100_full_text_items_for_appendectomy_0030,Westlaw - 100 full text items for appendectomy.rtf,30,"Dale M. NIELSEN, Appellant,
v.
Jesse BROWN, Secretary of Veterans Affairs, Appellee.",15 Vet.App. 311,2026,7444
westlaw_100_full_text_items_for_appendectomy_0031,Westlaw - 100 full text items for appendectomy.rtf,31,"Charles A. McBURNEY, Plaintiff,
v.
STEW HANSEN’S DODGE CITY, Defendant,",311 F.Supp.2d 811,2026,17670
westlaw_100_full_text_items_for_appendectomy_0032,Westlaw - 100 full text items for appendectomy.rtf,32,,391 B.R. 20,2026,18716
westlaw_100_full_text_items_for_appendectomy_0033,Westlaw - 100 full text items for appendectomy.rtf,33,"Anthony Jason MACHICOTE, Plaintiff,
v.
Dr. Karl HOFFMAN, Maryah Martin, Roslyn Huneke and Dr. Phillip Wheatley, Defendants.",2022 WL 4597878,2026,34228
westlaw_100_full_text_items_for_appendectomy_0034,Westlaw - 100 full text items for appendectomy.rtf,34,"Priscilla A. ELLIS, Appellant,
v.
Denis MCDONOUGH, Secretary of Veterans Affairs, Appellee.",2022 WL 1497613,2026,5792
westlaw_100_full_text_items_for_appendectomy_0035,Westlaw - 100 full text items for appendectomy.rtf,35,"Mae CLYMER, Appellant,
v.
Douglas A. COLLINS, Secretary of Veterans Affairs, Appellee.",2025 WL 1737771,2026,13645
westlaw_100_full_text_items_for_appendectomy_0036,Westlaw - 100 full text items for appendectomy.rtf,36,"Distinguished by Gonzalez v. Spitzer Autoworld Homestead, Inc., S.D.Fla., May 8, 2023",2020 WL 2836824,2026,50002
westlaw_100_full_text_items_for_appendectomy_0037,Westlaw - 100 full text items for appendectomy.rtf,37,"James M. ARRITT, Appellant,
v.
Robert A. McDONALD, Secretary of Veterans Affairs, Appellee.",2014 WL 5140283,2026,28508
westlaw_100_full_text_items_for_appendectomy_0038,Westlaw - 100 full text items for appendectomy.rtf,38,"Jule W. PARKS, Appellant,
v.
Anthony J. PRINCIPI, Secretary of Veterans Affairs, Appellee.",18 Vet.App. 62,2026,2588
westlaw_100_full_text_items_for_appendectomy_0039,Westlaw - 100 full text items for appendectomy.rtf,39,"PAN-AMERICAN LIFE INS. CO.
v.
FOWLER.",174 F.2d 199,2026,13917
westlaw_100_full_text_items_for_appendectomy_0040,Westlaw - 100 full text items for appendectomy.rtf,40,"Betzaida P. JERNIGAN, Appellant,
v.
Robert L. WILKIE, Secretary of Veterans Affairs, Appellee.",2019 WL 273140,2026,4780
westlaw_100_full_text_items_for_appendectomy_0041,Westlaw - 100 full text items for appendectomy.rtf,41,"Edwar L. EASON, Appellant,
v.
Erick SHINSEKI, Secretary of Veterans Affairs, Appellee.",2010 WL 2706273,2026,4214
westlaw_100_full_text_items_for_appendectomy_0042,Westlaw - 100 full text items for appendectomy.rtf,42,"Richard ARMENTA, Plaintiff,
v.
SHAH, et al., Defendants.",2022 WL 17812635,2026,11435
westlaw_100_full_text_items_for_appendectomy_0043,Westlaw - 100 full text items for appendectomy.rtf,43,"JACQUELINE STOKES, Petitioner
v.
COMMISSIONER OF INTERNAL REVENUE, Respondent",244 F.2d 450,2026,4790
westlaw_100_full_text_items_for_appendectomy_0044,Westlaw - 100 full text items for appendectomy.rtf,44,"Distinguished by SmithKline Beecham Corp. v. Apotex Corp., E.D.Pa., March 23, 2004",125 F.R.D. 121,2026,25780
westlaw_100_full_text_items_for_appendectomy_0045,Westlaw - 100 full text items for appendectomy.rtf,45,"Brent Luis GONZALEZ, Plaintiff,
v.
Z. AHMED, Defendant.",2013 WL 4426260,2026,10143
westlaw_100_full_text_items_for_appendectomy_0046,Westlaw - 100 full text items for appendectomy.rtf,46,"John R. FRERKING and Deborah D. Frerking, Plaintiffs,
v.
BLUE CROSS–BLUE SHIELD OF KANSAS, Defendant.",760 F.Supp. 877,2026,20023
westlaw_100_full_text_items_for_appendectomy_0047,Westlaw - 100 full text items for appendectomy.rtf,47,"SHOU LIN, Petitioner,
v.
Eric H. HOLDER, Jr., Attorney General, Respondent.",367 Fed.Appx. 655,2026,7665
westlaw_100_full_text_items_for_appendectomy_0048,Westlaw - 100 full text items for appendectomy.rtf,48,"Andrew STATUTO, Plaintiff,
v.
NIKE, INC., Defendant.",2024 WL 1380810,2026,16856
westlaw_100_full_text_items_for_appendectomy_0049,Westlaw - 100 full text items for appendectomy.rtf,49,"Sean MONROE
v.
N. Burl CAIN, et al.",2014 WL 2003293,2026,23202
westlaw_100_full_text_items_for_appendectomy_0050,Westlaw - 100 full text items for appendectomy.rtf,50,"Arnold HALPERN, Appellant,
v.
James B. PEAKE, M.D., Secretary of Veterans Affairs, Appellee.",2008 WL 4169559,2026,12823
westlaw_100_full_text_items_for_appendectomy_0051,Westlaw - 100 full text items for appendectomy.rtf,51,"Abrogation Recognized by Johnson v. 27th Avenue Caraf, Inc., 11th Cir.(Fla.), August 17, 2021",261 F.3d 1075,2026,228851
westlaw_100_full_text_items_for_appendectomy_0052,Westlaw - 100 full text items for appendectomy.rtf,52,"Antonio SANTIAGO–ESPONDA, Appellant,
v.
Togo D. WEST, Jr., Secretary of Veterans Affairs, Appellee.",16 Vet.App. 290,2026,8234
westlaw_100_full_text_items_for_appendectomy_0053,Westlaw - 100 full text items for appendectomy.rtf,53,"IAFRATE
v.
COMPAGNIE GENERALE TRANSATLANTIQUE et al.",12 F.R.D. 71,2026,6740
westlaw_100_full_text_items_for_appendectomy_0054,Westlaw - 100 full text items for appendectomy.rtf,54,"Lane K. CAPP, Appellant,
v.
Douglas A. COLLINS, Secretary of Veterans Affairs, Appellee.",2025 WL 3539283,2026,13311
westlaw_100_full_text_items_for_appendectomy_0055,Westlaw - 100 full text items for appendectomy.rtf,55,"BERLIN
v.
PHOENIX MUT. LIFE INS. CO. OF HARTFORD, CONN.",112 F.2d 938,2026,6760
westlaw_100_full_text_items_for_appendectomy_0056,Westlaw - 100 full text items for appendectomy.rtf,56,"John D. BANKSTON, Appellant,
v.
Jesse BROWN, Secretary of Veterans Affairs, Appellee.",14 Vet.App. 25,2026,8635
westlaw_100_full_text_items_for_appendectomy_0057,Westlaw - 100 full text items for appendectomy.rtf,57,"Sarah M. MURPHY, Appellant,
v.
Robert L. WILKIE, Secretary of Veterans Affairs, Appellee.",2019 WL 1946502,2026,8952
westlaw_100_full_text_items_for_appendectomy_0058,Westlaw - 100 full text items for appendectomy.rtf,58,"Brent Luis GONZALEZ, Plaintiff,
v.
Z. AHMED, Defendant.",2013 WL 3200655,2026,19826
westlaw_100_full_text_items_for_appendectomy_0059,Westlaw - 100 full text items for appendectomy.rtf,59,"Bernice YU, Plaintiff,
v.
Michael J. ASTRUE, Commissioner of Social Security, Defendant.",963 F.Supp.2d 201,2026,60757
westlaw_100_full_text_items_for_appendectomy_0060,Westlaw - 100 full text items for appendectomy.rtf,60,"Affirmed in Part, Reversed in Part by Pearson v. Prison Health Service, 3rd Cir.(Pa.), March 7, 2017",2015 WL 13733819,2026,35395
westlaw_100_full_text_items_for_appendectomy_0061,Westlaw - 100 full text items for appendectomy.rtf,61,"Lavern C. SCOTT, Appellant,
v.
Togo D. WEST, Jr., Secretary of Veterans Affairs, Appellee.",17 Vet.App. 244,2026,13593
westlaw_100_full_text_items_for_appendectomy_0062,Westlaw - 100 full text items for appendectomy.rtf,62,"Alma Jackson, Creditor–Appellant,
v.
President Casinos, Inc., Debtor–Appellee.",397 B.R. 468,2026,21252
westlaw_100_full_text_items_for_appendectomy_0063,Westlaw - 100 full text items for appendectomy.rtf,63,"UNITED STATES,
v.
Airman Basic Tyler W. WEST, United States Air Force.",2002 WL 1822417,2026,20981
westlaw_100_full_text_items_for_appendectomy_0064,Westlaw - 100 full text items for appendectomy.rtf,64,"Disapproved of by Continental Cas. Co. v. Boerger, Tex.Civ.App.-Waco, April 1, 1965",251 F.2d 499,2026,43177
westlaw_100_full_text_items_for_appendectomy_0065,Westlaw - 100 full text items for appendectomy.rtf,65,"Robert MAHER, Petitioner,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Respondent.",2012 WL 4711647,2026,3530
westlaw_100_full_text_items_for_appendectomy_0066,Westlaw - 100 full text items for appendectomy.rtf,66,,2000 WL 962823,2026,9889
westlaw_100_full_text_items_for_appendectomy_0067,Westlaw - 100 full text items for appendectomy.rtf,67,"Paul W. SHEETS, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2012 WL 445898,2026,10066
westlaw_100_full_text_items_for_appendectomy_0068,Westlaw - 100 full text items for appendectomy.rtf,68,"Robert UNDERWOOD, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2010 WL 5053934,2026,7659
westlaw_100_full_text_items_for_appendectomy_0069,Westlaw - 100 full text items for appendectomy.rtf,69,"Report and Recommendation Adopted in Part, Rejected in Part by Hartley v. Devlin, N.D.N.Y., March 24, 2016",2016 WL 11480166,2026,46235
westlaw_100_full_text_items_for_appendectomy_0070,Westlaw - 100 full text items for appendectomy.rtf,70,"Declined to Follow by Biggins v. Hazen Paper Co., 1st Cir.(Mass.), January 8, 1992",921 F.2d 692,2026,29166
westlaw_100_full_text_items_for_appendectomy_0071,Westlaw - 100 full text items for appendectomy.rtf,71,"Armin G. WAND, III, Plaintiff,
v.
CO JOHNSON, Becky Kramer, Jolinda Waterman, Dr. J. Patterson, Erica Brown, and Sandy McArdle, Defendants.",2019 WL 6712079,2026,15059
westlaw_100_full_text_items_for_appendectomy_0072,Westlaw - 100 full text items for appendectomy.rtf,72,"Marilyn LEAK, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2011 WL 2516172,2026,11779
westlaw_100_full_text_items_for_appendectomy_0073,Westlaw - 100 full text items for appendectomy.rtf,73,"Louis Russell McCOMBS, Plaintiff,
v.
Charles MARSHALL, Alex Astorga, Nadim Khoury, Defendants.",1994 WL 387876,2026,12501
westlaw_100_full_text_items_for_appendectomy_0074,Westlaw - 100 full text items for appendectomy.rtf,74,"Fidel H. ADIC, Appellant,
v.
Jesse BROWN, Appellee.",8 Vet.App. 14,2026,3274
westlaw_100_full_text_items_for_appendectomy_0075,Westlaw - 100 full text items for appendectomy.rtf,75,"Duane HUBBARD, Plaintiff
v.
PLEASANT VALLEY SCHOOL DISTRICT, Defendant",2006 WL 42093,2026,24238
westlaw_100_full_text_items_for_appendectomy_0076,Westlaw - 100 full text items for appendectomy.rtf,76,"Betzaida P. JERNIGAN, Claimant-Appellant
v.
Robert L. WILKIE, Secretary of Veterans Affairs, Respondent-Appellee",809 Fed.Appx. 927,2026,9813
westlaw_100_full_text_items_for_appendectomy_0077,Westlaw - 100 full text items for appendectomy.rtf,77,"Leave to File for Reconsideration Granted by Gonzalez v. Ahmed, N.D.Cal., August 15, 2013",2012 WL 3987583,2026,32979
westlaw_100_full_text_items_for_appendectomy_0078,Westlaw - 100 full text items for appendectomy.rtf,78,"Distinguished by U.S. v. First Nat. Bank of Chicago, C.C.A.7 (Ill.), November 18, 1943",100 F.2d 725,2026,14683
westlaw_100_full_text_items_for_appendectomy_0079,Westlaw - 100 full text items for appendectomy.rtf,79,"Affirmed in Part, Vacated in Part, Remanded by Roberts v. Gestamp West Virginia, LLC, 4th Cir.(W.Va.), August 15, 2022",2020 WL 6142258,2026,32028
westlaw_100_full_text_items_for_appendectomy_0080,Westlaw - 100 full text items for appendectomy.rtf,80,"Aron C. HAYNES, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2012 WL 2090321,2026,25206
westlaw_100_full_text_items_for_appendectomy_0081,Westlaw - 100 full text items for appendectomy.rtf,81,"Gary Edward WILLIAMSON, Plaintiff,
v.
UNITED STATES of America, Defendant.",2015 WL 4528967,2026,10478
westlaw_100_full_text_items_for_appendectomy_0082,Westlaw - 100 full text items for appendectomy.rtf,82,"Ludwik BARTOSZ and Celina Bartosz, Plaintiffs,
v.
TOOLING & MANUFACTURING ASSOCIATION, Defendant.",1994 WL 53759,2026,9030
westlaw_100_full_text_items_for_appendectomy_0083,Westlaw - 100 full text items for appendectomy.rtf,83,"ZMYSLY
v.
UNITED STATES",2009 WL 10739724,2026,15040
westlaw_100_full_text_items_for_appendectomy_0084,Westlaw - 100 full text items for appendectomy.rtf,84,,668 F.2d 670,2026,4493
westlaw_100_full_text_items_for_appendectomy_0085,Westlaw - 100 full text items for appendectomy.rtf,85,"Richard ARMENTA, Plaintiff,
v.
Sanjay SHAH, Defendant.",2025 WL 2158568,2026,6127
westlaw_100_full_text_items_for_appendectomy_0086,Westlaw - 100 full text items for appendectomy.rtf,86,"Brian DEBLASIO, Plaintiff,
v.
John BALDWIN, John Coe, Lorie Cunningham, Steve Duncan, Nicholas Lamb, and Wexford Health Sources, Inc., Defendants.1",2019 WL 8063913,2026,37602
westlaw_100_full_text_items_for_appendectomy_0087,Westlaw - 100 full text items for appendectomy.rtf,87,"Distinguished by Doe v. Milwaukee County, E.D.Wis., July 18, 2018",139 F.Supp.3d 120,2026,186810
westlaw_100_full_text_items_for_appendectomy_0088,Westlaw - 100 full text items for appendectomy.rtf,88,"Richard ARMENTA, Plaintiff,
v.
SHAH, et al., Defendants.",2023 WL 3978546,2026,11574
westlaw_100_full_text_items_for_appendectomy_0089,Westlaw - 100 full text items for appendectomy.rtf,89,"Roy Rogers CREASY
v.
SULLIVAN.",1992 WL 443575,2026,13455
westlaw_100_full_text_items_for_appendectomy_0090,Westlaw - 100 full text items for appendectomy.rtf,90,"John David HAMRAC, Plaintiff
v.
Dr. Craig B. MIZES; St. Mary’s Physicians Services, LLC, Defendants",2022 WL 17072104,2026,15945
westlaw_100_full_text_items_for_appendectomy_0091,Westlaw - 100 full text items for appendectomy.rtf,91,"Brian DEBLASIO, Plaintiff,
v.
John R. BALDWIN, Steven Duncan, John Coe, Wexford Health Sources, Inc., Lorie Cunningham, and Nicholas Lamb, Defendants.",2020 WL 133084,2026,35200
westlaw_100_full_text_items_for_appendectomy_0092,Westlaw - 100 full text items for appendectomy.rtf,92,"Richard ARMENTA, Plaintiff,
v.
SHAH, et al., Defendants.",2022 WL 3157712,2026,9749
westlaw_100_full_text_items_for_appendectomy_0093,Westlaw - 100 full text items for appendectomy.rtf,93,"The ATLANTIC REFINING COMPANY, Owner of THE ATLANTIC TRADER,
v.
MATSON NAVIGATION COMPANY, a corporation and THE HAWAIIAN RETAILER, her engines, etc.",150 F.Supp. 516,2026,11328
westlaw_100_full_text_items_for_appendectomy_0094,Westlaw - 100 full text items for appendectomy.rtf,94,"TANCRELL
v.
FREEPORT MEMORIAL HOSPITAL, INC., et al.",2008 WL 11626163,2026,15580
westlaw_100_full_text_items_for_appendectomy_0095,Westlaw - 100 full text items for appendectomy.rtf,95,"Walter HARRISON, Plaintiff,
v.
S. MURAKONDA, et al., Defendants.",2016 WL 11747185,2026,7006
westlaw_100_full_text_items_for_appendectomy_0096,Westlaw - 100 full text items for appendectomy.rtf,96,"Brent Luis GONZALEZ, Plaintiffs,
v.
Z. AHMED, Joseph Chudy, Doctor Sepulveda, Defendants.",67 F.Supp.3d 1145,2026,50963
westlaw_100_full_text_items_for_appendectomy_0097,Westlaw - 100 full text items for appendectomy.rtf,97,"Calvin F. SMITH, Appellant,
v.
Togo D. WEST, Jr., Acting Secretary of Veterans Affairs, Appellee.",16 Vet.App. 36,2026,16245
westlaw_100_full_text_items_for_appendectomy_0098,Westlaw - 100 full text items for appendectomy.rtf,98,"MERRILL
v.
PHOENIX MUT. LIFE INS. CO. OF HARTFORD, CONN.",26 F.Supp. 756,2026,9526
westlaw_100_full_text_items_for_appendectomy_0099,Westlaw - 100 full text items for appendectomy.rtf,99,"Andrew Cleveland ROGERS, III and Andrew Cleveland Rogers, Jr., Plaintiffs-Appellants,
v.
UNITED STATES of America, Defendant-Appellee.",334 F.2d 931,2026,18103
westlaw_100_full_text_items_for_appendectomy1_0000,Westlaw - 100 full text items for appendectomy1.rtf,0,"Phyllis Jean Pierce WILSON and William Edgar Wilson, III, Plaintiffs,
v.
UNITED STATES of America, Defendant.",594 F.Supp. 843,1984,41263
westlaw_100_full_text_items_for_appendectomy1_0001,Westlaw - 100 full text items for appendectomy1.rtf,1,"April MCCASTER, Plaintiff,
v.
UNITED STATES of America, Lauren Swords, M.D., and Mercy Hospital & Medical Center, Defendants.",2016 WL 1581855,2026,27906
westlaw_100_full_text_items_for_appendectomy1_0002,Westlaw - 100 full text items for appendectomy1.rtf,2,"Eric DRENNER, Plaintiff,
v.
UNITED STATES of America, Defendants.",2021 WL 5359712,2026,80131
westlaw_100_full_text_items_for_appendectomy1_0003,Westlaw - 100 full text items for appendectomy1.rtf,3,"Scott McFARLANE, Appellant,
v.
Colonel Guy DeYOUNG, Commanding Officer, United States Army, Presidio, San Francisco, California, Appellee.",431 F.2d 1197,2026,4718
westlaw_100_full_text_items_for_appendectomy1_0004,Westlaw - 100 full text items for appendectomy1.rtf,4,"Distinguished by Brown v. White, E.D.Wash., May 4, 2007",823 F.2d 1055,2026,34676
westlaw_100_full_text_items_for_appendectomy1_0005,Westlaw - 100 full text items for appendectomy1.rtf,5,"Roderick J. MCGINNIS, Plaintiff,
v.
Dr. Richard EVANS, Defendant.",2016 WL 4544525,2026,8811
westlaw_100_full_text_items_for_appendectomy1_0006,Westlaw - 100 full text items for appendectomy1.rtf,6,"Michael O. TENNEY, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2011 WL 4582423,2026,13003
westlaw_100_full_text_items_for_appendectomy1_0007,Westlaw - 100 full text items for appendectomy1.rtf,7,"Laurie ROSENKRANZ, Plaintiff,
v.
COMMISSIONER OF SOCIAL, SECURITY ADMINISTRATION, Defendant.",2014 WL 1270588,2026,34414
westlaw_100_full_text_items_for_appendectomy1_0008,Westlaw - 100 full text items for appendectomy1.rtf,8,"Betzaida P. JERNIGAN, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",25 Vet.App. 220,2026,41366
westlaw_100_full_text_items_for_appendectomy1_0009,Westlaw - 100 full text items for appendectomy1.rtf,9,"Carmine A. DIBERNARDO, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2012 WL 204543,2026,14433
westlaw_100_full_text_items_for_appendectomy1_0010,Westlaw - 100 full text items for appendectomy1.rtf,10,"Distinguished by New York Life Ins. Co. v. Strudel, 5th Cir.(Fla.), April 5, 1957",99 F.Supp. 641,2026,10922
westlaw_100_full_text_items_for_appendectomy1_0011,Westlaw - 100 full text items for appendectomy1.rtf,11,"Elena BAKER, Appellant,
v.
Jesse BROWN, Secretary of Veterans Affairs, Appellee.",8 Vet.App. 526,2026,7527
westlaw_100_full_text_items_for_appendectomy1_0012,Westlaw - 100 full text items for appendectomy1.rtf,12,"Louis Russell McCOMBS, Plaintiff,
v.
Charles MARSHALL, Alex Astorga, and Nadim Khoury, Defendants.",1993 WL 79667,2026,9473
westlaw_100_full_text_items_for_appendectomy1_0013,Westlaw - 100 full text items for appendectomy1.rtf,13,"William S. BENNETT, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2011 WL 6358025,2026,6880
westlaw_100_full_text_items_for_appendectomy1_0014,Westlaw - 100 full text items for appendectomy1.rtf,14,"Distinguished by Nayak v. St. Vincent Hosp. and Health Care Center, Inc., S.D.Ind., January 9, 2013",2012 WL 2244325,2026,36314
westlaw_100_full_text_items_for_appendectomy1_0015,Westlaw - 100 full text items for appendectomy1.rtf,15,"Appeal Filed by Kelvin Dowell v. David Kent Mathis, et al, 6th Cir., February 12, 2026",2026 WL 40959,2026,42227
westlaw_100_full_text_items_for_appendectomy1_0016,Westlaw - 100 full text items for appendectomy1.rtf,16,"Jerry BODTCHER, Plaintiff,
v.
Tom JENSEN, in his individual capacity, Defendant.",2007 WL 4562616,2026,17098
westlaw_100_full_text_items_for_appendectomy1_0017,Westlaw - 100 full text items for appendectomy1.rtf,17,"Don FOSTER and Vincent Williams, Plaintiffs,
v.
MIDWEST SECURITY HOUSING, LLC, et al., Defendants.",2007 WL 9718126,2026,37771
westlaw_100_full_text_items_for_appendectomy1_0018,Westlaw - 100 full text items for appendectomy1.rtf,18,"JAXON H.,1 Plaintiff,
v.
Martin O’MALLEY, Commissioner of Social Security, Defendant.",2024 WL 2322285,2026,48217
westlaw_100_full_text_items_for_appendectomy1_0019,Westlaw - 100 full text items for appendectomy1.rtf,19,"Daniel ROACH, Plaintiff,
v.
PEDIGO HOLDINGS, INC., d/b/a Pedigo Chevrolet and Bob Pedigo, Defendant.",2006 WL 54002,2026,8601
