Search_ID,Case_Name,Citation,Year,Exclusion_Reason,First_Pass_Likely_Case_Type
westlaw_100_full_text_items_for_appendectomy_0014,"Jimmie McCOY, Appellant,
v.
Togo D. WEST, Jr., Secretary of Veterans Affairs, Appellee.",16 Vet.App. 164,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,payment_dispute
westlaw_100_full_text_items_for_appendectomy_0015,"Distinguished by Walsh v. Snyder, Vet.App., February 7, 2017",6 Vet.App. 396,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0016,"Jorge Robles JAUREGUI, Plaintiff,
v.
Matthew CATE, et al., Defendants.",2013 WL 3934985,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0020,"Dennis D. PATTON, Appellant,
v.
Jesse BROWN, Secretary of Veterans Affairs, Appellee.",15 Vet.App. 103,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0021,"Norman L. COLEMAN, Appellant,
v.
Robert L. WILKIE, Acting Secretary of Veterans Affairs, Appellee.",2018 WL 1750947,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0022,"Samuel FRIEDMAN, Appellant,
v.
Jesse BROWN, Secretary of Veterans Affairs, Appellee.",15 Vet.App. 103,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0023,"Distinguished by Tedder v. Union Fidelity Life Ins. Co., E.D.N.C., August 25, 1977",424 F.2d 1006,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0024,"Bernard Woods v. Eric K. Shinseki, Secretary of Veterans Affairs",2009 WL 3645069,2009,Non-malpractice veterans benefits claim; Is_Malpractice_Case=NO,postop_management
westlaw_100_full_text_items_for_appendectomy_0025,Richard L. Ambrose v. Nancy Puckett et al.,198 Fed. Appx. 537,2006,Not a medical malpractice claim; civil rights §1983 action; Is_Malpractice_Case=NO,postop_management
westlaw_100_full_text_items_for_appendectomy_0026,"Distinguished by United Food and Commercial Workers, Local 23 v. Mountaineer Park, Inc., N.D.W.Va., September 23, 2009",793 F.Supp. 684,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0027,"Betty P. TRULL, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2010 WL 227860,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0028,,199 F.Supp. 399,2026,Is_Malpractice_Case=NO,unclear
westlaw_100_full_text_items_for_appendectomy_0029,"Jessica WOODY
v.
UNITEDHEALTHCARE INSURANCE COMPANY",2024 WL 3468743,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0030,"Dale M. NIELSEN, Appellant,
v.
Jesse BROWN, Secretary of Veterans Affairs, Appellee.",15 Vet.App. 311,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0031,"Charles A. McBURNEY, Plaintiff,
v.
STEW HANSEN’S DODGE CITY, Defendant,",311 F.Supp.2d 811,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0032,,391 B.R. 20,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0033,"Anthony Jason MACHICOTE, Plaintiff,
v.
Dr. Karl HOFFMAN, Maryah Martin, Roslyn Huneke and Dr. Phillip Wheatley, Defendants.",2022 WL 4597878,2026,Is_Malpractice_Case=NO; Harm=NO,postop_management
westlaw_100_full_text_items_for_appendectomy_0034,"Priscilla A. ELLIS, Appellant,
v.
Denis MCDONOUGH, Secretary of Veterans Affairs, Appellee.",2022 WL 1497613,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0035,Mae Clymer v. Douglas A. Collins,2025 WL 1737771,2025,Not a malpractice case; surgery not at issue; appeal concerns service connection for an appendectomy scar; Is_Malpractice_Case=NO,postop_management
westlaw_100_full_text_items_for_appendectomy_0036,"Distinguished by Gonzalez v. Spitzer Autoworld Homestead, Inc., S.D.Fla., May 8, 2023",2020 WL 2836824,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0037,"James M. ARRITT, Appellant,
v.
Robert A. McDONALD, Secretary of Veterans Affairs, Appellee.",2014 WL 5140283,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0038,"Jule W. PARKS, Appellant,
v.
Anthony J. PRINCIPI, Secretary of Veterans Affairs, Appellee.",18 Vet.App. 62,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0039,"PAN-AMERICAN LIFE INS. CO.
v.
FOWLER.",174 F.2d 199,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,payment_dispute
westlaw_100_full_text_items_for_appendectomy_0040,"Betzaida P. JERNIGAN, Appellant,
v.
Robert L. WILKIE, Secretary of Veterans Affairs, Appellee.",2019 WL 273140,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0041,"Edwar L. EASON, Appellant,
v.
Erick SHINSEKI, Secretary of Veterans Affairs, Appellee.",2010 WL 2706273,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0043,"JACQUELINE STOKES, Petitioner
v.
COMMISSIONER OF INTERNAL REVENUE, Respondent",244 F.2d 450,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0044,"Distinguished by SmithKline Beecham Corp. v. Apotex Corp., E.D.Pa., March 23, 2004",125 F.R.D. 121,2026,Is_Malpractice_Case=NO; Harm=NO,payment_dispute
westlaw_100_full_text_items_for_appendectomy_0046,"John R. FRERKING and Deborah D. Frerking, Plaintiffs,
v.
BLUE CROSS–BLUE SHIELD OF KANSAS, Defendant.",760 F.Supp. 877,2026,Is_Malpractice_Case=NO; Harm=NO,payment_dispute
westlaw_100_full_text_items_for_appendectomy_0047,"SHOU LIN, Petitioner,
v.
Eric H. HOLDER, Jr., Attorney General, Respondent.",367 Fed.Appx. 655,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0048,"Andrew STATUTO, Plaintiff,
v.
NIKE, INC., Defendant.",2024 WL 1380810,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0049,"Sean Monroe v. N. Burl Cain, et al.",2014 WL 2003293,2014,Is_Malpractice_Case=NO,delayed_diagnosis
westlaw_100_full_text_items_for_appendectomy_0050,"Arnold HALPERN, Appellant,
v.
James B. PEAKE, M.D., Secretary of Veterans Affairs, Appellee.",2008 WL 4169559,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0051,"Abrogation Recognized by Johnson v. 27th Avenue Caraf, Inc., 11th Cir.(Fla.), August 17, 2021",261 F.3d 1075,2026,Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0052,"Antonio SANTIAGO–ESPONDA, Appellant,
v.
Togo D. WEST, Jr., Secretary of Veterans Affairs, Appellee.",16 Vet.App. 290,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0053,Iafrate v. Compagnie Generale Transatlantique et al.,12 F.R.D. 71,1952,Not a medical malpractice case; claim is breach of contract and death statutes.; Is_Malpractice_Case=NO,operative_complication
westlaw_100_full_text_items_for_appendectomy_0054,"Lane K. Capp v. Douglas A. Collins, Secretary of Veterans Affairs",2025 WL 3539283,2025,Non-malpractice VA benefits claim; Is_Malpractice_Case=NO,operative_complication
westlaw_100_full_text_items_for_appendectomy_0055,"Berlin v. Phoenix Mut. Life Ins. Co. of Hartford, Conn.",112 F.2d 938,1940,Not a medical malpractice case; insurance benefit claim rather than negligence claim.; Is_Malpractice_Case=NO; Appendicitis_Index=NO,operative_complication
westlaw_100_full_text_items_for_appendectomy_0056,"John D. BANKSTON, Appellant,
v.
Jesse BROWN, Secretary of Veterans Affairs, Appellee.",14 Vet.App. 25,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0057,"Sarah M. MURPHY, Appellant,
v.
Robert L. WILKIE, Secretary of Veterans Affairs, Appellee.",2019 WL 1946502,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0059,"Bernice YU, Plaintiff,
v.
Michael J. ASTRUE, Commissioner of Social Security, Defendant.",963 F.Supp.2d 201,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy_0060,"Affirmed in Part, Reversed in Part by Pearson v. Prison Health Service, 3rd Cir.(Pa.), March 7, 2017",2015 WL 13733819,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0061,"Lavern C. SCOTT, Appellant,
v.
Togo D. WEST, Jr., Secretary of Veterans Affairs, Appellee.",17 Vet.App. 244,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0062,"Alma Jackson, Creditor–Appellant,
v.
President Casinos, Inc., Debtor–Appellee.",397 B.R. 468,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0063,United States v. Airman Basic Tyler W. West,"M.J., 2002 WL 1822417 (A.F.Ct.Crim.App.)",2002,Not a medical malpractice case; claim is constitutional Eighth Amendment violation.; Is_Malpractice_Case=NO; Appendicitis_Index=NO,delayed_diagnosis
westlaw_100_full_text_items_for_appendectomy_0064,"Disapproved of by Continental Cas. Co. v. Boerger, Tex.Civ.App.-Waco, April 1, 1965",251 F.2d 499,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy_0065,"Robert MAHER, Petitioner,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Respondent.",2012 WL 4711647,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0067,"Paul W. SHEETS, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2012 WL 445898,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0068,"Robert UNDERWOOD, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2010 WL 5053934,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0069,Hartley v. Devlin,2016 WL 11480166,2016,"Constitutional §1983 claim, not a medical malpractice action; no appendectomy performed.; Is_Malpractice_Case=NO",delayed_diagnosis
westlaw_100_full_text_items_for_appendectomy_0070,"Declined to Follow by Biggins v. Hazen Paper Co., 1st Cir.(Mass.), January 8, 1992",921 F.2d 692,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0071,"Armin G. Wand, III v. CO Johnson, Becky Kramer, Jolinda Waterman, Dr. J. Patterson, Erica Brown, and Sandy McArdle",2019 WL 6712079,2019,"No documented clinically meaningful appendicitis-related injury (e.g., perforation, sepsis) and no operative details provided.; Harm=UNKNOWN",delayed_diagnosis
westlaw_100_full_text_items_for_appendectomy_0072,"Marilyn LEAK, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2011 WL 2516172,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0073,"Louis Russell McCOMBS, Plaintiff,
v.
Charles MARSHALL, Alex Astorga, Nadim Khoury, Defendants.",1994 WL 387876,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0074,"Fidel H. ADIC, Appellant,
v.
Jesse BROWN, Appellee.",8 Vet.App. 14,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0075,"Duane HUBBARD, Plaintiff
v.
PLEASANT VALLEY SCHOOL DISTRICT, Defendant",2006 WL 42093,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0076,"Betzaida P. JERNIGAN, Claimant-Appellant
v.
Robert L. WILKIE, Secretary of Veterans Affairs, Respondent-Appellee",809 Fed.Appx. 927,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0077,"Leave to File for Reconsideration Granted by Gonzalez v. Ahmed, N.D.Cal., August 15, 2013",2012 WL 3987583,2026,Harm=UNKNOWN,delayed_diagnosis
westlaw_100_full_text_items_for_appendectomy_0078,"Distinguished by U.S. v. First Nat. Bank of Chicago, C.C.A.7 (Ill.), November 18, 1943",100 F.2d 725,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy_0079,"Affirmed in Part, Vacated in Part, Remanded by Roberts v. Gestamp West Virginia, LLC, 4th Cir.(W.Va.), August 15, 2022",2020 WL 6142258,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0080,"Aron C. HAYNES, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2012 WL 2090321,2026,Is_Malpractice_Case=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy_0081,"Gary Edward WILLIAMSON, Plaintiff,
v.
UNITED STATES of America, Defendant.",2015 WL 4528967,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0082,"Ludwik BARTOSZ and Celina Bartosz, Plaintiffs,
v.
TOOLING & MANUFACTURING ASSOCIATION, Defendant.",1994 WL 53759,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,payment_dispute
westlaw_100_full_text_items_for_appendectomy_0084,,668 F.2d 670,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0086,"Brian DEBLASIO, Plaintiff,
v.
John BALDWIN, John Coe, Lorie Cunningham, Steve Duncan, Nicholas Lamb, and Wexford Health Sources, Inc., Defendants.1",2019 WL 8063913,2026,Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0087,"Distinguished by Doe v. Milwaukee County, E.D.Wis., July 18, 2018",139 F.Supp.3d 120,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy_0088,Armenta v. Shah,2023 WL 3978546,2023,Is_Malpractice_Case=NO,operative_complication
westlaw_100_full_text_items_for_appendectomy_0089,"Roy Rogers CREASY
v.
SULLIVAN.",1992 WL 443575,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0091,"Brian DEBLASIO, Plaintiff,
v.
John R. BALDWIN, Steven Duncan, John Coe, Wexford Health Sources, Inc., Lorie Cunningham, and Nicholas Lamb, Defendants.",2020 WL 133084,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0093,"The ATLANTIC REFINING COMPANY, Owner of THE ATLANTIC TRADER,
v.
MATSON NAVIGATION COMPANY, a corporation and THE HAWAIIAN RETAILER, her engines, etc.",150 F.Supp. 516,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy_0096,"Brent Luis GONZALEZ, Plaintiffs,
v.
Z. AHMED, Joseph Chudy, Doctor Sepulveda, Defendants.",67 F.Supp.3d 1145,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy_0097,"Calvin F. SMITH, Appellant,
v.
Togo D. WEST, Jr., Acting Secretary of Veterans Affairs, Appellee.",16 Vet.App. 36,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy_0098,"MERRILL
v.
PHOENIX MUT. LIFE INS. CO. OF HARTFORD, CONN.",26 F.Supp. 756,2026,Is_Malpractice_Case=NO,operative_complication
westlaw_100_full_text_items_for_appendectomy1_0001,"April MCCASTER, Plaintiff,
v.
UNITED STATES of America, Lauren Swords, M.D., and Mercy Hospital & Medical Center, Defendants.",2016 WL 1581855,2026,Appendicitis_Index=NO; Harm=NO,operative_complication
westlaw_100_full_text_items_for_appendectomy1_0003,"Scott McFARLANE, Appellant,
v.
Colonel Guy DeYOUNG, Commanding Officer, United States Army, Presidio, San Francisco, California, Appellee.",431 F.2d 1197,2026,Is_Malpractice_Case=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0005,"Roderick J. MCGINNIS, Plaintiff,
v.
Dr. Richard EVANS, Defendant.",2016 WL 4544525,2026,Is_Malpractice_Case=NO,postop_management
westlaw_100_full_text_items_for_appendectomy1_0006,"Michael O. TENNEY, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2011 WL 4582423,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0007,"Laurie ROSENKRANZ, Plaintiff,
v.
COMMISSIONER OF SOCIAL, SECURITY ADMINISTRATION, Defendant.",2014 WL 1270588,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy1_0008,"Betzaida P. JERNIGAN, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",25 Vet.App. 220,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0009,"Carmine A. DIBERNARDO, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2012 WL 204543,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0010,"Distinguished by New York Life Ins. Co. v. Strudel, 5th Cir.(Fla.), April 5, 1957",99 F.Supp. 641,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,payment_dispute
westlaw_100_full_text_items_for_appendectomy1_0011,"Elena BAKER, Appellant,
v.
Jesse BROWN, Secretary of Veterans Affairs, Appellee.",8 Vet.App. 526,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0012,"Louis Russell McCOMBS, Plaintiff,
v.
Charles MARSHALL, Alex Astorga, and Nadim Khoury, Defendants.",1993 WL 79667,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0013,"William S. BENNETT, Appellant,
v.
Eric K. SHINSEKI, Secretary of Veterans Affairs, Appellee.",2011 WL 6358025,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0014,"Distinguished by Nayak v. St. Vincent Hosp. and Health Care Center, Inc., S.D.Ind., January 9, 2013",2012 WL 2244325,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0015,"Kelvin Dowell v. David Kent Mathis, et al",2026 WL 40959,2026,"Case is a civil rights (Eighth Amendment) claim, not a medical malpractice/negligence action; Is_Malpractice_Case=NO",delayed_diagnosis
westlaw_100_full_text_items_for_appendectomy1_0016,"Jerry BODTCHER, Plaintiff,
v.
Tom JENSEN, in his individual capacity, Defendant.",2007 WL 4562616,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy1_0017,"Foster and Williams v. Midwest Security Housing, LLC et al.",2007 WL 9718126,2007,"Case is a §1983 civil rights action concerning delayed medical care, not a medical malpractice or appendectomy claim.; Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO",delayed_diagnosis
westlaw_100_full_text_items_for_appendectomy1_0018,"JAXON H.,1 Plaintiff,
v.
Martin O’MALLEY, Commissioner of Social Security, Defendant.",2024 WL 2322285,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,unclear
westlaw_100_full_text_items_for_appendectomy1_0019,"Daniel ROACH, Plaintiff,
v.
PEDIGO HOLDINGS, INC., d/b/a Pedigo Chevrolet and Bob Pedigo, Defendant.",2006 WL 54002,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0020,"Jerry BODTCHER, Plaintiff,
v.
Tom JENSEN, in his individual capacity, Defendant.",2006 WL 2038424,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0021,"James A. VELEZ, Appellant,
v.
Dat P. TRAN, Acting Secretary of Veterans Affairs, Appellee.",2021 WL 209308,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy1_0024,"Donald L. CLARKSON, Appellant,
v.
Togo D. WEST, Jr., Acting Secretary of Veterans Affairs, Appellee.",16 Vet.App. 32,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0027,"Mary SOWELL, Appellant,
v.
Robert L. WILKIE, Acting Secretary of Veterans Affairs, Appellee.",2018 WL 1956499,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0028,"John SMITH, Plaintiff,
v.
DEFENDANT A, Defendant B, and Defendant C, Defendants.",2009 WL 1514590,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy1_0029,Jeremy Phillips v. Chippewa Correctional Facility Medical Staff et al.,2022 WL 1447962,2022,Not a medical malpractice case; claim dismissed under 42 U.S.C. §1983 as failure to state a claim.; Is_Malpractice_Case=NO,postop_management
westlaw_100_full_text_items_for_appendectomy1_0031,,232 F.3d 895,2026,Is_Malpractice_Case=UNKNOWN; Appendicitis_Index=UNKNOWN; Harm=UNKNOWN,unclear
westlaw_100_full_text_items_for_appendectomy1_0032,,993 F.2d 882,2026,Is_Malpractice_Case=NO; Appendicitis_Index=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0033,"Declined to Extend by Kelly v. City of Charlotte, North Carolina, W.D.N.C., May 31, 2025",2020 WL 6142258,2026,Is_Malpractice_Case=NO; Harm=NO,incidental_history
westlaw_100_full_text_items_for_appendectomy1_0035,,321 F.3d 742,2026,Appendicitis_Index=NO; Harm=NO,operative_complication
